countries,gdp
Balochistan,0.2
Punjab,0.6
Sind, 0.7
F.A.T.A., no data
Azad Kashmir, no data
F.C.T., no data
N.W.F.P., 0.3
Bantva (Manvader) Junagadh, 0.35
