hospital_name,location
"Services Hospital, Lahore","31.540967, 74.332304"
"Shaikh Zayed Hospital, Rahim Yar Khan","28.417648, 70.317597"
"Shalamar Hospital, Lahore","31.575084, 74.379894"
"Sheikh Zayed Hospital, Rahim Yar Khan","31.508153, 74.308586"
"Sheikh Zayed Post Graduate Medical Institute, Lahore","31.509429, 74.308015"
"Shifa International Hospital, Islamabad","33.675109, 73.067058"
"Sind Institute of Urology & Transplant, Karachi","24.859034, 67.010055"
"Sir Ganga Ram Hospital, Lahore","31.554168, 74.320652"
"Sir Syed Teaching Hospital, Karachi",
"Sughra Shafi Medical Complex, Narowal","32.116439, 74.852315"
"Surgimed Hospital, Lahore","31.538129, 74.351222"
"Tabba Heart Institute, Karachi","24.918864, 67.063489"
"Tabba Kidney Institute, Karachi","24.923102, 67.065885"
"Taj Medical Complex, Karachi","24.867982, 67.030427"
"The Indus Hospital, Karachi","24.816964, 67.111736"
"University Medical College Madinah Hospital, Faisalabad","31.498295, 73.076638"
"Ziauddin Medical University Clifton Campus, Karachi","24.817050, 67.007688"
"Ziauddin Medical University North Nazimabad, Karachi","24.924381, 67.045499"
